PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Wright, SF; Green, VS; Cavigelli, MA",,,,"Wright, S. F.; Green, V. S.; Cavigelli, M. A.",,,Glomalin in aggregate size classes from three different farming systems,SOIL & TILLAGE RESEARCH,,,English,Article,,,,,,aggregation; tillage; organic farming; soil organic matter,ARBUSCULAR MYCORRHIZAL FUNGI; SOIL; HYPHAE; STABILITY; PROTEIN,"Glomalin was measured in soil from farming systems managed for 8 years by chisel tillage (CT), more intensive tillage for organic (ORG) production, and no tillage (NT) on Acrisols (FAO Soil Units) in the Mid-Atlantic region of the U.S. Whole soil and aggregate size classes of >2.00, 0.50-2.00 and 0.21-0.50 mm (macroaggregates), 0.05-0.21 mm (microaggregates), and <0.05 mm (fine material) were examined. Glomalin-related soil protein (GRSP) was extracted from 1-g samples (four plots per treatment) with 100 mM sodium pyrophosphate, pH 9.0, at 121 degrees C in three extraction cycles. Extracts were pooled and quantified by using the Bradford protein assay. Concentrations of GRSP and total carbon (C) in aggregates were linearly related across aggregate size classes for all treatments (GRSP = 0. 101C + 0.56, r(2) = 0.95). No tillage had significantly greater whole soil GRSP than did CT or ORG (P = 0.01). Mean values for GRSP in aggregates of NT were higher than for CT or ORG aggregates by 0.53 and 0.66 mg g(-1) aggregates, respectively. There were no differences among treatments in GRSP concentrations in fine material. In NT the concentration of GRSP increased as aggregate size increased in contrast to the disturbed treatments, CT or ORG, where there were no differences in GRSP concentration across aggregate size fractions. Larger proportions of GRSP were distributed in macroaggregates of NT compared to CT and ORG in contrast to larger proportions in microaggregates of CT and ORG than in NT. Although soil disturbance in ORG farming is greater than for CT farming, both treatments had similar GRSP concentrations and distributions. (c) 2006 Elsevier B.V. All rights reserved.","USDA ARS, Sustainable Agr Syst Lab, Beltsville, MD 20705 USA; Arkansas State Univ, Coll Agr, State Univ, AR 72467 USA","Cavigelli, MA (reprint author), USDA ARS, Sustainable Agr Syst Lab, 10300 Baltimore Ave,Bldg 001,Rm 140,BARC W, Beltsville, MD 20705 USA.",CavigelM@ba.ars.usda.gov,,,,,,11,60,78,1,53,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0167-1987,,,SOIL TILL RES,Soil Tillage Res.,JUN,2007,94,2,,,,,546,549,,10.1016/j.still.2006.08.003,,,4,Soil Science,Agriculture,178OT,WOS:000247230700029,,,,,10/31/19
J,"Pastur, GM; Lencinas, MV; Peri, PL; Arena, M",,,,"Martinez Pastur, Guillermo; Lencinas, Maria Vanessa; Peri, Pablo Luis; Arena, Miriam",,,Photosynthetic plasticity of Nothofagus pumilio seedlings to light intensity and soil moisture,FOREST ECOLOGY AND MANAGEMENT,,,English,Article,,,,,,forest management; silviculture; regeneration; ecophysiology; respiration; gas exchange; photosynthesis,TIERRA-DEL-FUEGO; TREE REGENERATION; FAGUS-SYLVATICA; BOREAL FORESTS; ARGENTINA; ACCLIMATION; GRADIENT; GROWTH; VEGETATION; RESPONSES,"Nothofagus seedlings often survive and grow slowly for a long time in the shaded understory. This creates a seedling bank with a potential advantage in reestablishing canopy disturbances. To manage primary forests more effectively, it is important to understand the basis of plant regeneration ecophysiology, and their plasticity to changes in environmental factors. The objective was to evaluate the photosynthetic plasticity of Nothofagus pumilio seedlings to light intensity and soil moisture gradients; and to relate them with silvicultural prescriptions. Six treatments with three light intensities (4, 26 and 64% of the natural incident irradiance) and two soil moistures levels (40-60 and 80-100% soil capacity) were assayed under greenhouse controlled conditions. CO, gas exchanges were measured every month on seedlings growing in each condition. In the shaded treatments seedlings grow below their optimum photosynthetic potential (leaf light-saturated net photosynthesis rate of 5.1 mu mol CO2 m(-2) s(-1)) compared with the lighted treatments by improving their photosynthetic performance (8.3-8.4 mu mol CO2 m(-2) s(-1)). Seedling growing under low soil moisture conditions had higher leaf light-saturated net photosynthesis rate than plants grown under 80-100% soil water capacity (7.8 and 6.6 mu mol .CO2 m(-2). s(-1), respectively). When light (up to 150-200 mu mol m(-2) s(-1)) and soil moisture (40-60% soil capacity) levels were favourable, seedling plants could exhibit their maximum photosynthetic capacity. If one of these factors became limiting, the plants reduced their photosynthetic rate, e.g. N. pumilio seedlings with enough light and high levels of soil moisture, probably decreased their growth and fine roots activity. For this, application of silviculture systems must take into account the changes in both factors (light and soil moisture) for maximize the growth potential in the natural regeneration. These findings must be combined with morphological variables at a whole-plant, shoot, crown and leaf levels to determine the optimum growth conditions. (c) 2007 Elsevier B.V. All rights reserved.","Consejo Nacl Invest Cient & Tecn, CADIC, CC 92, RA-9410 Ushuaio, Tierra del Fueg, Argentina; UNPA, CONICET, INTA, RA-9400 Rio Gallegos, Santa Cruz, Argentina","Pastur, GM (reprint author), Consejo Nacl Invest Cient & Tecn, CADIC, CC 92, RA-9410 Ushuaio, Tierra del Fueg, Argentina.",cadicforestal@cadic.gov.ar,"Pastur, Guillermo Martinez/H-8480-2019; Lencinas, Maria/K-6208-2019","Pastur, Guillermo Martinez/0000-0003-2614-5403; Lencinas, Maria/0000-0002-2123-3976; Martinez Pastur, Guillermo/0000-0002-7369-0423",,,,42,48,66,0,44,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0378-1127,1872-7042,,FOREST ECOL MANAG,For. Ecol. Manage.,31-May,2007,243,3-Feb,,,,,274,282,,10.1016/j.foreco.2007.03.034,,,9,Forestry,Forestry,176VQ,WOS:000247113400011,,,,,10/31/19
J,"Sierra, CA; del Valle, JI; Orrego, SA; Moreno, FH; Harmon, ME; Zapata, M; Colorado, GJ; Herrera, MA; Lara, W; Restrepo, DE; Berrouet, LM; Loaiza, LM; Benjumea, JF",,,,"Sierra, Carlos A.; del Valle, Jorge I.; Orrego, Sergio A.; Moreno, Flavio H.; Harmon, Mark E.; Zapata, Mauricio; Colorado, Gabriel J.; Herrera, Maria A.; Lara, Wilson; Restrepo, David E.; Berrouet, Lina M.; Loaiza, Lina M.; Benjumea, John F.",,,"Total carbon stocks in a tropical forest landscape of the Porce region, Colombia",FOREST ECOLOGY AND MANAGEMENT,,,English,Article,,,,,,aboveground biomass; belowground biomass; biomass equations; heterogeneous landscapes; necromass; soil organic carbon,ROOT BIOMASS; FRAGMENTS; PATTERNS; AMAZON; SCALE,"Detailed ground-based quantifications of total carbon stocks in tropical forests are few despite their importance in science and ecosystem management. Carbon stocks in live aboveground and belowground biomass, necromass, and soils were measured in a heterogeneous landscape composed of secondary and primary forest. A total of 110 permanent plots were used to estimate the size of these carbon pools. Local biomass equations were developed and used to estimate aboveground biomass and coarse root biomass for each plot. Herbaceous vegetation, fine roots, coarse and fine litter, and soil carbon to 4 in depth were measured in subplots. In primary forests, mean total carbon stocks (TCS) were estimated as 383.7 +/- 55.5 Mg C ha(-1) (+/- S.E.). Of this amount, soil organic carbon to 4 m depth represented 59%, total aboveground biomass 29%, total belowground biomass 10%, and necromass 2%. In secondary forests, TCS was 228.2 +/- 13.1 Mg C ha(-1), and soil organic carbon to 4 m depth accounted for 84% of this amount. Total aboveground biomass represented only 9%, total belowground biomass 5%, and total necromass 1% of TCS in secondary forests. Monte Carlo methods were used to assess the uncertainty of the biomass measurements and spatial variation. Of the total uncertainty of the estimates of TCS, the variation associated with the spatial variation of C pools between plots was higher than measurement errors within plots. From this study it is concluded that estimates of aboveground biomass largely underestimate total carbon stocks in forest ecosystems. Additionally, it is suggested that heterogeneous landscapes impose additional challenges for their study such as sampling intensity. (c) 2007 Elsevier B.V. All rights reserved.","Oregon State Univ, Dept Forest Sci, Corvallis, OR 97331 USA; Univ Nacl Colombia, Sede Medellin, Dept Ciencias Forestales, Medellin 1779 AA, Colombia; Oregon State Univ, Dept Forest Resources, Corvallis, OR 97331 USA","Sierra, CA (reprint author), Oregon State Univ, Dept Forest Sci, 321 Richardson Hall, Corvallis, OR 97331 USA.",carlos.sierra@oregonstate.edu,"Sierra, Carlos A./A-5694-2009","Sierra, Carlos A./0000-0003-0009-4169; Berrouet, Lina/0000-0003-3107-6852",,,,32,111,125,2,47,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0378-1127,1872-7042,,FOREST ECOL MANAG,For. Ecol. Manage.,31-May,2007,243,3-Feb,,,,,299,309,,10.1016/j.foreco.2007.03.026,,,11,Forestry,Forestry,176VQ,WOS:000247113400014,,,,,10/31/19
J,"Shvidenko, A; Schepaschenko, D; Nilsson, S; Bouloui, Y",,,,"Shvidenko, Anatoly; Schepaschenko, Dmitry; Nilsson, Sten; Bouloui, Yuri",,,Semi-empirical models for assessing biological productivity of Northern Eurasian forests,ECOLOGICAL MODELLING,,,English,Article,,,,,,system of growth and yield models; phytomass; net primary production; boreal forests; Northern Eurasia,NET PRIMARY PRODUCTIVITY; FINE-ROOT BIOMASS; CLIMATE-CHANGE; CO2 ELEVATION; TREE GROWTH; ECOSYSTEM; TURNOVER; TEMPERATURE; VEGETATION; NPP,"The Richards-Chapman growth function was used as an analytical basis for a unified system of semi-empirical models describing the dynamics of the main biometric characteristics of major types of Northern Eurasian forests. The growth function was applied at the stand level using yield tables. The models received satisfactorily describe the diversity of growth patterns for different species and geographical regions of Northern Eurasia. A special type of model of biological productivity (MBP) has been developed combining the above growth models and multi-dimensional regression equations of phytomass (living biomass). The latter have been parametrized for dominant tree species, site indexes and ecological regions based on 3507 sample plots collected in Northern Eurasia's forests. The MBP account for age dynamics of forest ecosystems and simulate dynamics of seven components of phytomass (stem wood over bark, bark, crown wood, foliage, understory, green forest floor, and roots) as well as net primary production. The model system could be used in different ecological applications, in forest inventory and forest management as a semi-empirical reference information on the growth and productivity of Northern Eurasia's forests. (C) 2007 Elsevier B.V. All rights reserved.","Int Inst Appl Syst Anal, A-2361 Laxenburg, Austria; Moscow State Forest Univ, Mytishchi, Moscow Region, Russia","Shvidenko, A (reprint author), Int Inst Appl Syst Anal, A-2361 Laxenburg, Austria.",shvidenk@iiasa.ac.at,"Schepaschenko, Dmitry G./E-9603-2012; Shvidenko, Anatoly/I-1505-2016","Schepaschenko, Dmitry G./0000-0002-7814-4990; Shvidenko, Anatoly/0000-0001-7640-2151",,,,50,38,41,0,4,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0304-3800,,,ECOL MODEL,Ecol. Model.,24-May,2007,204,2-Jan,,,,,163,179,,10.1016/j.ecolmodel.2006.12.040,,,17,Ecology,Environmental Sciences & Ecology,171OX,WOS:000246746400017,,,,,10/31/19
J,"Fajardo, A; Graham, JM; Goodburn, JM; Fiedler, CE",,,,"Fajardo, Alex; Graham, Jonathan M.; Goodburn, John M.; Fiedler, Carl E.",,,"Ten-year responses of ponderosa pine growth, vigor, and recruitment to restoration treatments in the Bitterroot Mountains, Montana, USA",FOREST ECOLOGY AND MANAGEMENT,,,English,Article,,,,,,growth efficiency; prescribed burning; regeneration; restoration; semivariograms; spatial ANOVA,MIXED-CONIFER FOREST; PRESCRIBED-FIRE; ECOLOGICAL RESTORATION; WESTERN MONTANA; TREE-GROWTH; FINE-ROOT; BURNING TREATMENTS; NORTHERN ARIZONA; CENTRAL OREGON; STAND DENSITY,"Little is known about ponderosa pine forest ecosystem responses to restoration practices in the Northern Rocky Mountains, USA. In this study, restoration treatments aimed at approximating historical forest structure and disturbances included modified single-tree selection cutting, with and without prescribed burning. We compared the effectiveness of restoration treatments on growth, vigor, and composition of recruitment responses with untreated controls. We used a randomized block design to detect treatment differences in mean individual tree basal area increment (BAInc10), growth efficiency (GE), and recruitment abundance between two restoration treatments (Cut-only and Cut-burn) and a Control. We further examined treatment effects by tree age-class (Young, Mature, Presettlement) using a spatial ANOVA model that incorporates the spatial autocorrelation among trees within experimental units. Ten years after implementing restoration treatments, mean individual tree BAInc10 and GE were significantly higher for treated units relative to Control units; all three age-classes benefited similarly from restoration treatments relative to the Control, with the greatest response in the Cut-only and moderate response in the Cut-burn. When treated units were compared, Cut-burn negatively affected BAInc10 and GE relative to Cut-only. Presettlement trees responded positively to treatment relative to the Control, particularly for BAInc10, demonstrating the potential of these old trees to respond to reduced competition. The Cut-burn treatment, in contrast, negatively affected the BAInc10 and GE response of postsettlement trees when compared to Cut-only. Restoration treatments did not reduce the amount of Douglas-fir recruits. In addition, the recruitment of both ponderosa pine and Douglas-fir species was associated with the proximate cover of woody debris in Cut-only and Control treatments. Finally, special consideration needs to be taken for spring Cut-burn treatments, which appeared to dampen growth and vigor, relative to Cut-only, particularly for Young and Mature trees, and increased recruitment of ponderosa pine and particularly Douglas-fir. (c) 2007 Elsevier B.V. All rights reserved.","Univ Montana, Coll Forestry & Conservat, Forest Management Dept, Missoula, MT 59812 USA; Univ Montana, Dept Math, Missoula, MT 59812 USA","Fajardo, A (reprint author), Ctr Invest Ecosistemas Patagonia, Bilbao 449, Coyhaique, Spain.",alex.fajardo@ciep.cl,,,,,,77,26,27,0,9,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0378-1127,1872-7042,,FOREST ECOL MANAG,For. Ecol. Manage.,15-May,2007,243,1,,,,,50,60,,10.1016/j.foreco.2007.02.006,,,11,Forestry,Forestry,165YK,WOS:000246343500006,,,,,10/31/19
J,"Sanchez-Coronado, ME; Coates, R; Castro-Colina, L; de Buen, AG; Paez-Valencia, J; Barradas, VL; Huante, P; Orozco-Segovia, A",,,,"Sanchez-Coronado, Maria E.; Coates, Rosamond; Castro-Colina, Libertad; de Buen, Alicia Gamboa; Paez-Valencia, Julio; Barradas, Victor L.; Huante, Pilar; Orozco-Segovia, Alma",,,Improving seed germination and seedling growth of Omphalea oleifera (Euphorbiaceae) for restoration projects in tropical rain forests,FOREST ECOLOGY AND MANAGEMENT,,,English,Article,,,,,,phenotypic plasticity index; preconditioning of seedlings; seed dehydration; seed handling; seed viability; seedling water stress,RECALCITRANT SEEDS; DESICCATION-TOLERANCE; HEVEA-BRASILIENSIS; WATER RELATIONS; DROUGHT; VIABILITY; STORAGE; PLANTS; TREE; DEFORESTATION,"To improve the restoration of tropical rain forests, we tested the germination of seeds of Omphalea oleifera collected from soil (S) and from trees (T) in the 2001 dry season (Spring), at the beginning of a dry season (2005a, winter) and in the rainy season (2005b, winter). All seeds had high water content (WC, 31-33%), and the lipid content varied from 14 to 46%. Seedlings from seeds collected in 2001 were subjected to moderate water stress as a preconditioning treatment for severe stress. T-seeds collected in the dry season had high WC, rapid and high germination percentage; S and T-seeds collected in winter (2005) had also high WC but were dormant. GA(3) (250 ppm) broke this dormancy. S-seeds collected in the dry season or at the beginning of it had relatively low WC and low and delayed germination. Some 2001 S-seeds produced albino seedlings. The critical water content for maintaining ecological longevity in these seeds was similar to 15%. Seeds collected in 2005b that were dehydrated for 20 days in a moist and fresh atmosphere lost their viability, showing recalcitrant behavior. T-seeds with the lowest lipid content (2005a) after dehydration maintained low germination (15 +/- 18%). In all samples the seed size varied widely and was not predictive of seed WC. Embryos taken from dehydrated seeds had two to four times higher WC than the seeds, but germination did not take place. Laboratory and field germination of dormant seeds showed that viability may be maintained for at least 2-3 months on a moist substrate (soil or agar). Moderate water stress at the seedling stage reduced the efficiency of biomass production. Response to this water stress was expressed more in physiological traits than in morphological characters, consequently biomass allocation was maintained and plants retained most of their morphological characteristics (root:shoot ratio, leaf area ratio, specific leaf area, leaf weight ratio). Moderate water stress did not increase the tolerance of seedlings to severe stress, causing leaf shedding and plant death. For restoration purposes we recommend that T-seeds be germinated immediately avoiding dehydration. The use of S-seeds could result in unhealthy seedlings. Seed recalcitrance and the response to moderate water stress restrict germination and establishment to small gaps, where this species naturally grows. We suggest that before introducing O. oleifera in restoration programs, a plant cover should be built to reduce soil water deficit. It is necessary to improve methods to increase potential seed longevity in storage. (c) 2007 Elsevier B.V. All rights reserved.","Univ Nacl Autonoma Mexico, Dept Ecol Func, Inst Ecol, Mexico City 04510, DF, Mexico; Univ Nacl Autonoma Mexico, Inst Biol, Estac Biol Trop Los Tuxtlas, Veracruz 95701, Mexico","Orozco-Segovia, A (reprint author), Univ Nacl Autonoma Mexico, Dept Ecol Func, Inst Ecol, Apartado Postal 70-275, Mexico City 04510, DF, Mexico.",aorozco@miranda.ecologia.unam.mx,"Paez-Valencia, Julio/N-1928-2015","Barradas, Victor L/0000-0001-8622-7190; Coates, Rosamond/0000-0003-0074-1565; Paez Valencia, Julio/0000-0002-3013-6959",,,,59,16,28,1,18,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0378-1127,1872-7042,,FOREST ECOL MANAG,For. Ecol. Manage.,15-May,2007,243,1,,,,,144,155,,10.1016/j.foreco.2007.03.001,,,12,Forestry,Forestry,165YK,WOS:000246343500014,,,,,10/31/19
J,"Fukuzawa, K; Shibata, H; Takagi, K; Satoh, F; Koike, T; Sasa, K",,,,"Fukuzawa, Karibu; Shibata, Hideaki; Takagi, Kentaro; Satoh, Fuyuki; Koike, Takayoshi; Sasa, Kaichiro",,,"Vertical distribution and seasonal pattern of fine-root dynamics in a cool-temperate forest in northern Japan: implication of the understory vegetation, Sasa dwarf bamboo",ECOLOGICAL RESEARCH,,,English,Article; Proceedings Paper,International Synposium on Sustainability and Biodiversity of Forest Ecosystems,18-Oct-05,"Kyoto, JAPAN",,,fine-root production; fine-root mortality; minirhizotrons; Mongolian oak; Sasa senanensis,HARDWOOD FORESTS; NITROGEN AVAILABILITY; SHORTGRASS STEPPE; ELEVATED CO2; LIFE-SPAN; GROWTH; TURNOVER; ECOSYSTEMS; OAK; DEMOGRAPHY,"We measured the vertical distribution and seasonal patterns of fine-root production and mortality using minirhizotrons in a cool-temperate forest in northern Japan mainly dominated by Mongolian oak (Quercus crispula) and covered with a dense understory of dwarf bamboo (Sasa senanensis). We also investigated the vertical distribution of the fine-root biomass using soil coring. We also measured environmental factors such as air and soil temperature, soil moisture and leaf area indices (LAI) of trees and the understory Sasa canopy for comparison with the fine-root dynamics. Fine-root biomass to a depth of 60 cm in September 2003 totaled 774 g m(-2), of which 71% was accounted for by Sasa and 60% was concentrated in the surface soil layer (0-15 cm), indicating that understory Sasa was an important component of the fine-root biomass in this ecosystem. Fine-root production increased in late summer (August) when soil temperatures were high, suggesting that temperature partially controls the seasonality of fine-root production. In addition, monthly fine-root production was significantly related to Sasa LAI (P < 0.001), suggesting that fine-root production was also affected by the specific phenology of Sasa. Fine-root mortality was relatively constant throughout the year. Fine-root production, mortality, and turnover rates were highest in the surface soil (0-15 cm) and decreased with increasing soil depth. Turnover rates of production and mortality in the surface soil were 1.7 year(-1) and 1.1 year(-1), respectively.","Hokkaido Univ, Grad Sch Agr, Nayoro 0960071, Japan; Hokkaido Univ, Field Sci Ctr No Biosphere, No Forestry & Dev Off, Nayoro 0960071, Japan; Hokkaido Univ, Field Sci Ctr No Biosphere, Teshio Expt Forest, Toikanbetsu, Horonobe, Japan; Hokkaido Univ, Field Sci Ctr No Biosphere, So Forestry & Dev Off, Sapporo, Hokkaido, Japan","Fukuzawa, K (reprint author), Hokkaido Univ, Grad Sch Agr, 250 Tokuda, Nayoro 0960071, Japan.",caribu@exfor.agr.hokudai.ac.jp,"Shibata, Hideaki/N-9974-2019; Shibata, Hideaki/A-6909-2008; Takagi, Kentaro/C-2222-2012; Koike, Takayoshi/A-5204-2012","Shibata, Hideaki/0000-0002-8968-3594; ",,,,52,24,32,2,26,SPRINGER JAPAN KK,TOKYO,"CHIYODA FIRST BLDG EAST, 3-8-1 NISHI-KANDA, CHIYODA-KU, TOKYO, 101-0065, JAPAN",0912-3814,1440-1703,,ECOL RES,Ecol. Res.,MAY,2007,22,3,,,,,485,495,,10.1007/s11284-006-0031-y,,,11,Ecology,Environmental Sciences & Ecology,163RB,WOS:000246179100015,,,,,10/31/19
J,"Stover, DB; Day, FP; Butnor, JR; Drake, BG",,,,"Stover, Daniel B.; Day, Frank P.; Butnor, John R.; Drake, Bert G.",,,Effect of elevated Co-2 on coarse-root biomass in Florida scrub detected by ground-penetrating radar,ECOLOGY,,,English,Article,,,,,,carbon dioxide; coarse-root biomass; ground-penetrating radar; roots; scrub oak,ATMOSPHERIC CO2; FINE ROOTS; CARBON-DIOXIDE; OAK ECOSYSTEM; SYSTEMS; RESPONSES; FOREST; FIELD; SOIL,"Growth and distribution of coarse roots in time and space represent a gap in our understanding of belowground ecology. Large roots may play a critical role in carbon sequestration belowground. Using ground-penetrating radar (GPR), we quantified coarseroot biomass from an open-top chamber experiment in a scrub-oak ecosystem at Kennedy Space Center, Florida, USA. GPR propagates electromagnetic waves directly into the soil and reflects a portion of the energy when a buried object is contacted. In our study, we utilized a 1500 MHz antenna to establish correlations between GPR signals and root biomass. A significant relationship was found between GPR signal reflectance and biomass (R-2 = 0.68). This correlation was applied to multiple GPR scans taken from each open-top chamber (elevated and ambient C0(2)). Our results showed that plots receiving elevated C02 had significantly (P = 0.049) greater coarse-root biomass compared to ambient plots, suggesting that coarse roots may play a large role in carbon sequestration in scrub-Oak ecosystems. This nondestructive method holds much promise for rapid and repeatable quantification of coarse roots, which are currently the most elusive aspect of long-term belowground studies.","Old Dominion Univ, Dept Biol Sci, Norfolk, VA 23529 USA; US Forest Serv, So Res Stn, Res Triangle Pk, NC 27709 USA; Smithsonian Environm Res Ctr, Edgewater, MD 21037 USA","Stover, DB (reprint author), Old Dominion Univ, Dept Biol Sci, Norfolk, VA 23529 USA.",dstover@odu.edu,"Butnor, John/P-9738-2016; Stover, Daniel/D-3405-2018","Butnor, John/0000-0003-0602-3898; Stover, Daniel/0000-0001-9029-0133",,,,46,71,76,3,26,ECOLOGICAL SOC AMER,WASHINGTON,"1707 H ST NW, STE 400, WASHINGTON, DC 20006-3915 USA",Dec-58,,,ECOLOGY,Ecology,MAY,2007,88,5,,,,,1328,1334,,10.1890/06-0989,,,7,Ecology,Environmental Sciences & Ecology,166HN,WOS:000246369900027,17536418,,,,10/31/19
J,"Volder, A; Gifford, RM; Evans, JR",,,,"Volder, Astrid; Gifford, Roger M.; Evans, John R.",,,"Effects of elevated atmospheric CO2, cutting frequency, and differential day/night atmospheric warming on root growth and turnover of Phalaris swards",GLOBAL CHANGE BIOLOGY,,,English,Article,,,,,,biomass allocation; climate change; CO2; defoliation; fine roots; minirhizotron; night-time warming; pasture; root turnover,TEMPERATE GRASS SWARD; SHORTGRASS STEPPE; CARBON-DIOXIDE; LOLIUM-PERENNE; LONG-TERM; RADIATION FLUX; WATER-USE; ENRICHMENT; ECOSYSTEM; PRODUCTIVITY,"We investigated seasonal root production and root turnover of fertilized and well-watered monocultures of Phalaris for 2 years using minirhizotrons installed in six newly designed temperature gradient tunnels, combined with sequential soil coring. Elevated atmospheric CO2 treatments were combined with two cutting frequencies and three warming scenarios: no warming, +3.0/+3.0 and +2.2/+4.0 degrees C (day/night) atmospheric warming. The elevated CO2 treatment increased both new and net root length production primarily when combined with atmospheric warming, where the constant warming treatment had a greater positive effect than the increased night-time warming treatment. Responses to elevated CO2 were greater when the swards were cut more frequently and responsiveness varied with season. For Phalaris swards, 17% of total net primary productivity went belowground. On account of root turnover, only one-third of the new roots produced in the year following establishment could be expected, on average, to be recovered from soil cores. The interaction between the effects of CO2 and warming, combined with the differential effects of the two warming treatments, has important implications for modelling belowground responses to projected climate change.","CSIRO, Plant Ind, Canberra, ACT, Australia; Australian Natl Univ, Res Sch Biol Sci, Canberra, ACT 2601, Australia; Cooperat Res Ctr Greenhouse Accounting, Canberra, ACT 2601, Australia","Volder, A (reprint author), Texas A&M Univ, Dept Hort Sci, College Stn, TX 77843 USA.",a-volder@tamu.edu,"Evans, John Richard/C-8424-2009","Evans, John Richard/0000-0003-1379-3532",,,,34,32,40,4,57,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1354-1013,,,GLOBAL CHANGE BIOL,Glob. Change Biol.,MAY,2007,13,5,,,,,1040,1052,,10.1111/j.1365-2486.2007.01321.x,,,13,Biodiversity Conservation; Ecology; Environmental Sciences,Biodiversity & Conservation; Environmental Sciences & Ecology,161AS,WOS:000245987300011,,,,,10/31/19
J,"van der Putten, WH; Klironomos, JN; Wardle, DA",,,,"van der Putten, Wim H.; Klironomos, John N.; Wardle, David A.",,,Microbial ecology of biological invasions,ISME JOURNAL,,,English,Review,,,,,,plant invasion; invasive soil microbes; invasive animals; natural enemies; ecosystem processes; climate warming,EXOTIC PLANT INVASIONS; ARBUSCULAR MYCORRHIZAL FUNGI; BELOW-GROUND BIODIVERSITY; SOIL-BORNE FUNGI; AMMOPHILA-ARENARIA; TERRESTRIAL ECOSYSTEMS; DECOMPOSITION RATE; LEAF-LITTER; PHYTOPHTHORA-CINNAMOMI; COMMUNITY STRUCTURE,"Invasive microbes, plants and animals are a major threat to the composition and functioning of ecosystems; however, the mechanistic basis of why exotic species can be so abundant and disruptive is not well understood. Most studies have focused on invasive plants and animals, although few have considered the effects of invasive microbes, or interactions of invasive plant and animal species with microbial communities. Here, we review effects of invasive plants on soil microbial communities and discuss consequences for plant performance, plant community structure and ecosystem processes. In addition, we briefly discuss effects of invasive soil microbes on plant communities, which has been less well studied, and effects of invasive animals on soil decomposers and ecosystem functioning. We do this by considering each of three important functional groups of microbes, namely soil microbial parasites and pathogens, mutualistic symbionts and decomposers. We conclude that invasive plants, pathogenic and symbiotic soil microbes will have strongest effects on the abundance of individual species, community diversity and ecosystem functioning. Invasive decomposer microbes probably have little impact, because of limited specificity and great functional redundancy. However, invasive plants and animals can have major effects on microbial decomposition in soil. We propose that understanding, predicting and counteracting consequences of enhanced global homogenization of natural communities through introducing exotic plants, animals and microbes will require future studies on how pathogenic, symbiotic and decomposer soil microbes interact, how they are influenced by higher trophic level organisms and how their combined effects are influencing the composition and functioning of ecosystems.","Netherlands Inst Ecol, Dept Multitroph Interact, NL-6666 ZG Heteren, Netherlands; Univ Wageningen, Nematol Lab, Wageningen, Netherlands; Univ Guelph, Dept Integrat Biol, Guelph, ON N1G 2W1, Canada; Swedish Univ Agr Sci, Dept Forest Vegetat Ecol, S-90183 Umea, Sweden; Landcare Res, Lincoln, NE USA","van der Putten, WH (reprint author), Netherlands Inst Ecol, Dept Multitroph Interact, POB 40,Boterhoeksestr 48, NL-6666 ZG Heteren, Netherlands.",w.vanderputten@nioo.knaw.nl,"Wardle, David A./F-6031-2011; van der Putten, Wim H/C-3707-2011","Wardle, David A./0000-0002-0476-7335; van der Putten, Wim H/0000-0002-9341-4442",,,,111,216,222,7,199,NATURE PUBLISHING GROUP,NEW YORK,"75 VARICK STREET, 9TH FLOOR, NEW YORK, NY 10013-1917 USA",1751-7362,,,ISME J,ISME J.,MAY,2007,1,1,,,,,28,37,,10.1038/ismej.2007.9,,,10,Ecology; Microbiology,Environmental Sciences & Ecology; Microbiology,206XI,WOS:000249215800006,18043611,Bronze,,,10/31/19
