PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"NEDWELL, DB; BLACKBURN, TH; WIEBE, WJ",,,,"NEDWELL, DB; BLACKBURN, TH; WIEBE, WJ",,,"DYNAMIC NATURE OF THE TURNOVER OF ORGANIC-CARBON, NITROGEN AND SULFUR IN THE SEDIMENTS OF A JAMAICAN MANGROVE FOREST",MARINE ECOLOGY PROGRESS SERIES,,,English,Article,,,,,,MANGROVE SEDIMENTS; ROOT EXUDATES; SULFATE REDUCTION; ORGANIC MINERALIZATION,SULFATE REDUCTION RATES; MARINE-SEDIMENTS; BENTHIC METABOLISM; BACTERIA; DENITRIFICATION; DECOMPOSITION; RHIZOSPHERE; INHIBITION; AUSTRALIA; FIXATION,"Rates of oxygen uptake, sulphate reduction, carbon dioxide production, ammonium turnover, nitrogen fixation and denitrification were measured in sediments in a transect across a mangrove swamp in Jamaica. Carbon and nitrogen mineralisation increased as the transect entered the mangrove, indicating a greater availability of organic matter, probably by root excretion. Time course measurements of sulphate reduction indicated a subsurface pool of labile carbon. Carbon dioxide production within the mangrove exceeded oxygen flux across the sediment surface, indicating a subsurface source of oxygen of 28 to 179 mmol m-2 d-1. The turnover time for the sedimentary sulphide pools decreased as the transect entered the mangrove. The production of ammonium from organic nitrogen, measured by (NH4+)-N-15 turnover, also indicated active subsurface organic matter mineralisation. The source of this organic nitrogen is unknown. Measured rates of nitrogen fixation were too low to supply the required organic nitrogen. The estimated net availability of ammonium to the plant roots was 10 mmol m-2 d-1. This would give a productivity of 2000 g C m-2 yr-1.","AARHUS UNIV, INST BIOL SCI, DEPT MICROBIOL ECOL, DK-8000 AARHUS, DENMARK; UNIV GEORGIA, DEPT MICROBIOL, ATHENS, GA 30602 USA","NEDWELL, DB (reprint author), UNIV ESSEX, DEPT BIOL, COLCHESTER CO4 3SQ, ESSEX, ENGLAND.",,,,,,,47,80,83,0,33,INTER-RESEARCH,OLDENDORF LUHE,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",0171-8630,,,MAR ECOL PROG SER,Mar. Ecol.-Prog. Ser.,JUL,1994,110,3-Feb,,,,,223,231,,10.3354/meps110223,,,9,Ecology; Marine & Freshwater Biology; Oceanography,Environmental Sciences & Ecology; Marine & Freshwater Biology; Oceanography,NZ901,WOS:A1994NZ90100014,,Bronze,,,10/31/19
J,"BLACKBURN, TH; NEDWELL, DB; WIEBE, WJ",,,,"BLACKBURN, TH; NEDWELL, DB; WIEBE, WJ",,,ACTIVE MINERAL CYCLING IN A JAMAICAN SEAGRASS SEDIMENT,MARINE ECOLOGY PROGRESS SERIES,,,English,Article,,,,,,SEAGRASS; ROOT EXUDATES; SULFATE REDUCTION; DIURNAL CHANGES,EELGRASS ZOSTERA-MARINA; NITROGEN-FIXATION; THALASSIA-TESTUDINUM; POTAMOGETON-PERFOLIATUS; OXYGEN RELEASE; ORGANIC-CARBON; N2 FIXATION; GROWTH; RHIZOSPHERE; ROOTS,"There was an active cycling of C and N in the sediments underlying a Halodule beaudetti meadow. Intensive C cycling was inferred from high rates of O2 uptake (131 mmol m-2 d-1), CO2 production (199 mmol m-2 d-1) and sulfate reduction (34 mmol m-2 d-1). Subsurface input of organic matter was indicated by the high rates of sulfate reduction and the presence of a short-lived organic pool (5 to 10 h). We suggest that this organic pool, which was associated with whole plants, was due to root excretion. There was little accumulation of sulfide, which was probably oxidised in the deeper sediment strata by O2, secreted from roots. Nitrogen cycling was equally active. (NH4+)-N-15 dilution indicated a net production rate for NH4+ of ca 8 mmol m-2 d-1 within the sediment, available for root uptake. Ammonium also accumulated in the sediment overnight (ca 7 mmol m-2) and disappeared during the day, presumably due to greater uptake by the roots in light compared to dark. Rates of nitrogen fixation were low (ca 1 mmol m-2 d-1) and did not Vary much during the day. Dawn denitrification rates were high (ca 4 mmol m-2 d-1), but they decreased during the day.","UNIV ESSEX, DEPT BIOL, COLCHESTER CO4 3SQ, ESSEX, ENGLAND; UNIV GEORGIA, DEPT MICROBIOL, ATHENS, GA 30602 USA","BLACKBURN, TH (reprint author), AARHUS UNIV, INST BIOL SCI, DEPT MICROBIAL ECOL, DK-8000 AARHUS, DENMARK.",,,,,,,48,70,73,0,10,INTER-RESEARCH,OLDENDORF LUHE,"NORDBUNTE 23, D-21385 OLDENDORF LUHE, GERMANY",0171-8630,,,MAR ECOL PROG SER,Mar. Ecol.-Prog. Ser.,JUL,1994,110,3-Feb,,,,,233,239,,10.3354/meps110233,,,7,Ecology; Marine & Freshwater Biology; Oceanography,Environmental Sciences & Ecology; Marine & Freshwater Biology; Oceanography,NZ901,WOS:A1994NZ90100015,,Bronze,,,10/31/19
J,"CALLAWAY, RM; DELUCIA, EH; THOMAS, EM; SCHLESINGER, WH",,,,"CALLAWAY, RM; DELUCIA, EH; THOMAS, EM; SCHLESINGER, WH",,,COMPENSATORY RESPONSES OF CO2 EXCHANGE AND BIOMASS ALLOCATION AND THEIR EFFECTS ON THE RELATIVE GROWTH-RATE OF PONDEROSA PINE IN DIFFERENT CO2 AND TEMPERATURE REGIMES,OECOLOGIA,,,English,Article,,,,,,BIOMASS ALLOCATION; CLIMATE CHANGE; CO2 ENHANCEMENT; PHOTOSYNTHESIS; RELATIVE GROWTH RATE,ATMOSPHERIC CARBON-DIOXIDE; WATER-USE EFFICIENCY; WOODY-PLANTS; GREAT-BASIN; LEAF-AREA; ENRICHMENT; SEEDLINGS; SOIL; RESPIRATION; VEGETATION,"Increases in the concentration of atmospheric carbon dioxide may have a fertilizing effect on plant growth by increasing photosynthetic rates and therefore may offset potential growth decreases caused by the stress associated with higher temperatures and lower precipitation. However, plant growth is determined both by rates of net photosynthesis and by proportional allocation of fixed carbon to autotrophic tissue and heterotrophic tissue. Although CO2 fertilization may enhance growth by increasing leaf-level assimilation rates, reallocation of biomass from leaves to stems and roots in response to higher concentrations of CO2 and higher temperatures may reduce whole-plant assimilation and offset photosynthetic gains. We measured growth parameters, photosynthesis, respiration, and biomass allocation of Pinus ponderosa seedlings grown for 2 months in 2 x 2 factorial treatments of 350 or 650mu bar CO2 and 10/25-degrees-C or 15/30-degrees-C night/day temperatures. After 1 month in treatment conditions, total seedling biomass was higher in elevated CO2, and temperature significantly enhanced the positive CO2 effect. However, after 2 months the effect of CO2 on total biomass decreased and relative growth rates did not differ among CO2 and temperature treatments over the 2-month growth period even though photosynthetic rates increased almost-equal-to 7% in high CO2 treatments and decreased almost-equal-to 10% in high temperature treatments. Additionally, CO2 enhancement decreased root respiration and high temperatures increased shoot respiration. Based on CO2 exchange rates, CO2 fertilization should have increased relative growth rates (RGR) and high temperatures should have decreased RGR. Higher photosynthetic rates caused by CO2 fertilization appear to have been mitigated during the second month of exposure to treatment conditions by a almost-equal-to 3% decrease in allocation of biomass to leaves and a almost-equal-to 9% increase in root:shoot ratio. It was not clear why diminished photosynthetic rates and increased respiration rates at high temperatures did not result in lower RGR. Significant diametrical and potentially compensatory responses of CO2 exchange and biomass allocation and the lack of differences in RGR of ponderosa pine after 2 months of exposure of high CO2 indicate that the effects of CO2 fertilization and temperature on whole-plant growth are determined by complex shifts in biomass allocation and gas exchange that may, for some species, maintain constant growth rates as climate and atmospheric CO2 concentrations change. These complex responses must be considered together to predict plant growth reactions to global atmospheric change, and the potential of forest ecosystems to sequester larger amounts of carbon in the future.","UNIV ILLINOIS, URBANA, IL 61801 USA; DUKE UNIV, DEPT BOT, DURHAM, NC 27708 USA; DUKE UNIV, DEPT GEOL, DURHAM, NC 27708 USA",,,,,,,,52,89,102,3,33,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",0029-8549,1432-1939,,OECOLOGIA,Oecologia,JUL,1994,98,2,,,,,159,166,,10.1007/BF00341468,,,8,Ecology,Environmental Sciences & Ecology,NW266,WOS:A1994NW26600007,28313973,,,,10/31/19
J,"VANNOORDWIJK, M; SPEK, LY; DEWILLIGEN, P",,,,"VANNOORDWIJK, M; SPEK, LY; DEWILLIGEN, P",,,PROXIMAL ROOT DIAMETER AS PREDICTOR OF TOTAL ROOT SIZE FOR FRACTAL BRANCHING MODELS .1. THEORY,PLANT AND SOIL,,,English,Article,,,,,,BRANCHING PATTERN; DICHOTOMY; FRACTAL CHARACTERISTICS; HERRINGBONE; METHODS OF ROOT RESEARCH; ROOT DIAMETER; SPECIFIC ROOT LENGTH,SYSTEMS; ARCHITECTURE; GROWTH,"In a fractal branching pattern the same rules govern branching at each subsequent level. The initial size (diameter) and the essential branching rules thus contain the information required to construct the whole pattern. If root branching patterns have fractal characteristics, measurement of the proximal root diameter at the stem base and the branching rules as observed anywhere in the root system, would be enough to predict total root length, root diameter distribution and root length per unit dry weight (specific root length). A 'pipe stem' model is used to derive algebraic relations between total root size and proximal root diameter for two classes of branching patterns, determinate and proportionate. To predict total root length from the proximal root diameter, at least information is needed on the minimum root diameter, the average length of internal and external links (segments) and the proportionality factor between total cross sectional areas before and after branching. For the length of the longest root or the specific root length further information on the branching rules is needed, as it is highest for determinate and proportionate branching rules, respectively.","UNIV UTRECHT,3584 CH UTRECHT,NETHERLANDS; DLO,AGROBIOL & SOIL FERTIL RES INST,9750 AC HAREN,NETHERLANDS","VANNOORDWIJK, M (reprint author), INT CTR RES AGROFORESTRY,SE ASIAN REG RES PROGRAM,POB 161,BOGOR 16001,INDONESIA.",,,"van Noordwijk, Meine/0000-0002-7791-4703",,,,26,75,76,0,10,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JUL,1994,164,1,,,,,107,117,,10.1007/BF00010116,,,11,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,PQ466,WOS:A1994PQ46600013,,,,,10/31/19
J,"SPEK, LY; VANNOORDWIJK, M",,,,"SPEK, LY; VANNOORDWIJK, M",,,PROXIMAL ROOT DIAMETER AS PREDICTOR OF TOTAL ROOT SIZE FOR FRACTAL BRANCHING MODELS .2. NUMERICAL-MODEL,PLANT AND SOIL,,,English,Article,,,,,,BRANCHING PATTERN; ROOT ARCHITECTURE; ROOT DIAMETER; ROOT STRATEGY; SPECIFIC ROOT LENGTH,ARCHITECTURE; SYSTEMS; GROWTH,"If root systems have scale-independent branching rules, the total number of links in the root system can be predicted from the ratio of the largest and smallest root diameter. In Paper I we presented an algebraic model for a dicho-syntomous pattern (the simplest form of proportionate branching forming two equal branches at each node) and a herringbone branching model (the simplest form of determinate branching rules). Here, we present a recursive computer model and its results to analyze intermediate patterns, derived from allotomous proportionate branching (with unequal branches). The numerical and algebraic model gave the same results when applied to the same situation and parameter values. For practical applications of the relations found, a test is required on whether or not the underlying assumptions are met. To illustrate such a test, measurements of the branching pattern were made on Mondriaan's Red Tree painting. For patterns such as this tree a slight dependency of the proportionality factor on root diameter and random variability of several parameters may have to be included.","INT CTR RES AGROFORESTRY,SE ASIAN REG RES PROGRAM,BOGOR 16001,INDONESIA","SPEK, LY (reprint author), UNIV UTRECHT,PADUALAAN 8,3584 CH UTRECHT,NETHERLANDS.",,,"van Noordwijk, Meine/0000-0002-7791-4703",,,,7,36,46,0,4,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JUL,1994,164,1,,,,,119,127,,10.1007/BF00010117,,,9,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,PQ466,WOS:A1994PQ46600014,,,,,10/31/19
J,"FABIANO, E; GUALTIERI, G; PRITSCH, C; POLLA, G; ARIAS, A",,,,"FABIANO, E; GUALTIERI, G; PRITSCH, C; POLLA, G; ARIAS, A",,,EXTENT OF HIGH-AFFINITY IRON TRANSPORT-SYSTEMS IN-FIELD ISOLATES OF RHIZOBIA,PLANT AND SOIL,,,English,Article,,,,,,RHIZOBIUM; OUTER-MEMBRANE; SIDEROPHORES,BRADYRHIZOBIUM-JAPONICUM; SIDEROPHORE UTILIZATION; RHIZOSPHERE BACTERIA; OUTER-MEMBRANE; LEGUMINOSARUM; MELILOTI; RHIZOBACTIN; PROTEINS,"A Uruguayan rhizobia collection (67 isolates) obtained from nodules of Medicago sativa, Melilotus albus, Medicago polymorpha, Trifolium subterraneum, Trifolium repens, Trifolium vesiculosum, Lotus corniculatus, Lotus subbiflorus, Lotus pedunculatus, Ornithopus sp. and Adesmia sp. has been examined to assess the occurrence of high affinity iron uptake systems. CAS (Chrome-azurol S)-assay results suggested that most of the free-living form of these microsymbionts may produce siderophores. The highest siderophore production was observed among Medicago and Trifolium microsymbionts whereas no siderophore expression or moderate positive results were found among Lotus microsymbionts; suggesting that microsymbionts of legumes growing on neutral or alkaline soils may express in vitro enhanced siderophore production. Electrophoretic patterns of outer-membrane protein enriched fractions revealed that iron-limited microsymbionts of Medicago sativa, Lotus corniculatus, Lotus subbiflorus, Trifolium repens, Trifolium subterraneum and Ornithopus sp. produced high molecular weight proteins (ranging from 64 to 94 kDa) compared to cells grown in iron-sufficient media.",,"FABIANO, E (reprint author), IIBCE,DEPT BIOCHEM,3318 ITALIA AVE,MONTEVIDEO 11600,URUGUAY.",,,,,,,33,13,13,0,3,KLUWER ACADEMIC PUBL,DORDRECHT,"SPUIBOULEVARD 50, PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",0032-079X,,,PLANT SOIL,Plant Soil,JUL,1994,164,2,,,,,177,185,,10.1007/BF00010069,,,9,Agronomy; Plant Sciences; Soil Science,Agriculture; Plant Sciences,PV721,WOS:A1994PV72100003,,,,,10/31/19
J,"VANPRAAG, HJ; LOGNAY, G; CARLETTI, G; WEISSEN, F; SEVERIN, M",,,,"VANPRAAG, HJ; LOGNAY, G; CARLETTI, G; WEISSEN, F; SEVERIN, M",,,TEMPORAL AND SPATIAL VARIATIONS OF ROOT-TIP DENSITY AND ERGOSTEROL CONTENT OF MYCORRHIZAL ROOTS OF PICEA-ABIES KARST AND FAGUS-SYLVATICA L,SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,SPRUCE NEEDLES; INFECTION,"Seasonal variations of mycorrhizal colonisation of European beech, Fagus sylvatica L. and Norway spruce, Picea abies Karst., rootlets in two stands, were investigated by comparing ergosterol content and very-fine root tip counts for a 3 yr period. Significant correlations and interactions between three environmental factors, 'year', 'season' and 'horizon' and the measured data, were interpreted. It was shown that root tip counting together with ergosterol analysis of rootlets enables us to follow changes induced by the environment on a long-term basis.","FAC AGR SCI GEMBLOUX,CTR FOREST RES,27 AVE MARECHAL JUIN,B-5030 GEMBLOUX,BELGIUM; FAC AGR SCI GEMBLOUX,CTR BIOMETR,B-5030 GEMBLOUX,BELGIUM; FAC AGR SCI GEMBLOUX,DEPT GEN & ORGAN CHEM,B-5030 GEMBLOUX,BELGIUM",,,,,,,,19,7,7,1,2,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,JUL,1994,26,7,,,,,833,840,,10.1016/0038-0717(94)90299-2,,,8,Soil Science,Agriculture,NR486,WOS:A1994NR48600004,,,,,10/31/19
J,"DARAMOLA, DS; DANSO, SKA; HARDARSON, G",,,,"DARAMOLA, DS; DANSO, SKA; HARDARSON, G",,,"NODULATION, N2 FIXATION AND DRY-MATTER YIELD OF SOYBEAN [GLYCINE-MAX (L) MERRILL] INOCULATED WITH EFFECTIVE AND INEFFECTIVE BRADYRHIZOBIUM-JAPONICUM STRAINS",SOIL BIOLOGY & BIOCHEMISTRY,,,English,Article,,,,,,,NITROGEN-FIXATION; RHIZOBIUM; LOCATION,"Many soils harbour rhizobia of varying effectiveness, and this could influence the outcome of seed inoculation with selected rhizobial strains. A greenhouse study was made to compare the effect of inoculating an effective Bradyrhizobium japonicum strain onto seed (s) or into the bulk soil (b) with treatments containing an additional inoculation (with the same strain, or an ineffective B. japonicum strain) onto seed or into soil. Nodulation, N2 fixation and growth of soybean were measured, using the N-15 isotope dilution method to quantify the N fixed. The method of inoculation had significant effects on nodule distribution along soybean roots, nodule number and fresh weight, and N2 fixation. In general, soil inoculation resulted in more nodules being formed, more uniform distribution of nodules on the root, and greater nitrogen fixation. The influence of the ineffective strain (in combinations containing both strains) on nodulation and N2 fixation depended on where each or both strains were inoculated. Generally, highest N2 fixation was achieved by inoculating the effective strain into soil. N2 fixation by seed-inoculated effective strain was significantly depressed in the presence of the soil-inoculated ineffective strain (Es + Ib) but not when both strains were inoculated onto seed (Es + Is), or when both strains were inoculated together into soil (Eb + Ib). The trend for %Ndfa was generally similar to total nitrogen fixed. Our results therefore indicate that there can still be substantial N2 fixation in legumes by highly effective strains even in the presence of less effective strains if the effective strains are fairly well distributed in soil.","INT ATOM ENERGY AGENCY,JOINT FAO IAEA DIV,POB 100,A-1400 VIENNA,AUSTRIA; OBAFEMI AWOLOWO UNIV,INST AGR RES & TRAINING,IBADAN,NIGERIA; FAO IAEA LAB,SEIBERSDORF,AUSTRIA",,,,,,,,31,6,6,0,9,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0038-0717,,,SOIL BIOL BIOCHEM,Soil Biol. Biochem.,JUL,1994,26,7,,,,,883,889,,10.1016/0038-0717(94)90304-2,,,7,Soil Science,Agriculture,NR486,WOS:A1994NR48600009,,,,,10/31/19
J,"HEILMAN, PE; EKUAN, G; FOGLE, DB",,,,"HEILMAN, PE; EKUAN, G; FOGLE, DB",,,1ST-ORDER ROOT DEVELOPMENT FROM CUTTINGS OF POPULUS-TRICHOCARPA X POPULUS-DELTOIDES HYBRIDS,TREE PHYSIOLOGY,,,English,Article; Proceedings Paper,International Workshop on Ecophysiology and Genetics of Trees and Forests in a Changing Environment,"MAY, 1993","UNIV TUSCIA, VITERBO, ITALY",INT UNION FORESTRY RES ORG,UNIV TUSCIA,ROOT ALLOMETRY; ROOT EXTENSION; ROOT MORTALITY; ROOT NUMBER; ROOT WEIGHT,,"We studied first-order root development of field-grown plants of 44 F1 Populus trichocarpa x P. deltoides hybrids as well 15 clones of P. trichocarpa (T) and 20 clones of P. deltoides (D) during their first growing season. The cuttings were planted in the field on May 11-12, 1988 and destructively sampled in July, August and September. By September 12, hybrids had an average of 50 first-order roots per cutting (range = 32 to 85) with an average of 25% dead roots (range = 10 to 51%). The longest roots of hybrids averaged 107 cm (range = 58 to 182 cm) and originated at the base of the cutting. Roots originating at the side of the cutting averaged 54 cm in length (range = 12 to 96 cm). For most aboveground and root parameters measured, the values for hybrids exceeded those for both parent species clones. For all clones, aboveground weights were positively correlated with weights of collected roots (R2 = 0.66 to 0.86). In contrast, aboveground weights were negatively (but poorly) correlated with root/shoot ratios (R2 = 0.08 to 0.21). Roots differed allometrically depending on their location on the cutting. Total weight of roots originating along the sides of the cutting was not correlated with aboveground weight (R2 = 0.001 to 0.27), whereas total weight of roots originating at the base of the cutting was correlated with aboveground weight (R2 = 0.52 to 0.80). Basal roots dominated the first-order root systems of most clones in terms of maximum length and total mass, but not in total numbers of roots.",,"HEILMAN, PE (reprint author), WASHINGTON STATE UNIV,PUYALLUP RES & EXTENS CTR,PUYALLUP,WA 98371, USA.",,,,,,,0,20,21,0,1,HERON PUBLISHING,VICTORIA,"BOX 5579 STATION B, VICTORIA BC V8R 6S4, CANADA",0829-318X,,,TREE PHYSIOL,Tree Physiol.,JUL-SEP,1994,14,9-Jul,,,,,911,920,,10.1093/treephys/14.7-8-9.911,,,10,Forestry,Forestry,NY187,WOS:A1994NY18700022,14967658,,,,10/31/19
J,"HAUG, I; WEBER, R; OBERWINKLER, F; TSCHEN, J",,,,"HAUG, I; WEBER, R; OBERWINKLER, F; TSCHEN, J",,,THE MYCORRHIZAL STATUS OF TAIWANESE TREES AND THE DESCRIPTION OF SOME ECTOMYCORRHIZAL TYPES,TREES-STRUCTURE AND FUNCTION,,,English,Article,,,,,,TAIWANESE TREES; MYCORRHIZAL STATUS; ECTOMYCORRHIZAL TYPES,,"In Taiwanese forests a dependence of mycorrhizal types on the altitude is recognizable: in the lower tropical regions VA-mycorrhizae dominate, whereas in the mixed subtropical forests most of the species show VA-mycorrhizae, but there are also several species with ectomycorrhizae. In the higher mountains ectomycorrhizae predominate. In addition to this relationship between mycorrhizal status and altitude, some tree species belong to typical ectomycorrhizal or VA-mycorrhizal families. Ten ectomycorrhizal types from Taiwanese trees were characterized by macroscopic, microscopic and ultrastructural features. The basic structures of hyphal mantles are the same in Taiwan as in the Black Forest (southwest Germany). Two of the types described and two further types are identical with types from the Black Forest on Picea abies (L.) Karst. Only two fungal partners could be identified (Lactarius, Amphinema), all others are unknown. Some noteworthy observations are: an epidermis-like covering of a hyphal mantle, an ectendomycorrhiza on Pinus taiwanensis Hayata with Amphinema byssoides and wall ingrowths in the outer cortical layer of Castanopsis-mycorrhizae.",,"HAUG, I (reprint author), UNIV TUBINGEN,MORGENSTELLE 1,D-72076 TUBINGEN,GERMANY.",,,,,,,0,10,14,0,4,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0931-1890,,,TREES-STRUCT FUNCT,Trees-Struct. Funct.,JUL,1994,8,5,,,,,237,253,,,,,17,Forestry,Forestry,NV573,WOS:A1994NV57300005,,,,,10/31/19
